X Y Z T
0 0 0 300
0.00166667 0 0 300
0.00333333 0 0 300
0.005 0 0 300
0.00666667 0 0 300
0.00833333 0 0 300
0.01 0 0 300
0.0116667 0 0 300
0.0133333 0 0 300
0.015 0 0 300
0.0166667 0 0 300
0.0183333 0 0 300
0.02 0 0 300
0.0216667 0 0 300
0.0233333 0 0 300
0.025 0 0 300
0.0266667 0 0 300
0.0283333 0 0 300
0.03 0 0 300
0.0316667 0 0 300
0.0333333 0 0 300
0.035 0 0 300
0.0366667 0 0 300
0.0383333 0 0 300
0.04 0 0 300
0.0416667 0 0 300
0.0433333 0 0 300
0.045 0 0 300
0.0466667 0 0 300
0.0483333 0 0 300
0.05 0 0 300
0 0.00166667 0 300
0.00166667 0.00166667 0 300.001
0.00333333 0.00166667 0 300.004
0.005 0.00166667 0 300.009
0.00666667 0.00166667 0 300.019
0.00833333 0.00166667 0 300.041
0.01 0.00166667 0 300.087
0.0116667 0.00166667 0 300.183
0.0133333 0.00166667 0 300.381
0.015 0.00166667 0 300.772
0.0166667 0.00166667 0 301.501
0.0183333 0.00166667 0 302.757
0.02 0.00166667 0 304.72
0.0216667 0.00166667 0 307.411
0.0233333 0.00166667 0 310.459
0.025 0.00166667 0 313.124
0.0266667 0.00166667 0 314.389
0.0283333 0.00166667 0 314.203
0.03 0.00166667 0 312.629
0.0316667 0.00166667 0 310.679
0.0333333 0.00166667 0 308.727
0.035 0.00166667 0 306.747
0.0366667 0.00166667 0 304.888
0.0383333 0.00166667 0 303.212
0.04 0.00166667 0 301.902
0.0416667 0.00166667 0 301.048
0.0433333 0.00166667 0 300.599
0.045 0.00166667 0 300.477
0.0466667 0.00166667 0 300.328
0.0483333 0.00166667 0 300.167
0.05 0.00166667 0 300
0 0.00333333 0 300
0.00166667 0.00333333 0 300.004
0.00333333 0.00333333 0 300.011
0.005 0.00333333 0 300.025
0.00666667 0.00333333 0 300.053
0.00833333 0.00333333 0 300.109
0.01 0.00333333 0 300.22
0.0116667 0.00333333 0 300.443
0.0133333 0.00333333 0 300.887
0.015 0.00333333 0 301.752
0.0166667 0.00333333 0 303.364
0.0183333 0.00333333 0 306.178
0.02 0.00333333 0 310.679
0.0216667 0.00333333 0 317.048
0.0233333 0.00333333 0 324.43
0.025 0.00333333 0 331.509
0.0266667 0.00333333 0 334.397
0.0283333 0.00333333 0 333.807
0.03 0.00333333 0 328.924
0.0316667 0.00333333 0 323.802
0.0333333 0.00333333 0 318.829
0.035 0.00333333 0 314.291
0.0366667 0.00333333 0 310.277
0.0383333 0.00333333 0 306.81
0.04 0.00333333 0 303.996
0.0416667 0.00333333 0 302.184
0.0433333 0.00333333 0 301.242
0.045 0.00333333 0 300.986
0.0466667 0.00333333 0 300.683
0.0483333 0.00333333 0 300.351
0.05 0.00333333 0 300
0 0.005 0 300
0.00166667 0.005 0 300.011
0.00333333 0.005 0 300.028
0.005 0.005 0 300.062
0.00666667 0.005 0 300.127
0.00833333 0.005 0 300.25
