X Y Z T
0 0 0 300
0.00166667 0 0 300
0.00333333 0 0 300
0.005 0 0 300
0.00666667 0 0 300
0.00833333 0 0 300
0.01 0 0 300
0.0116667 0 0 300
0.0133333 0 0 300
0.015 0 0 300
0.0166667 0 0 300
0.0183333 0 0 300
0.02 0 0 300
0.0216667 0 0 300
0.0233333 0 0 300
0.025 0 0 300
0.0266667 0 0 300
0.0283333 0 0 300
0.03 0 0 300
0.0316667 0 0 300
0.0333333 0 0 300
0.035 0 0 300
0.0366667 0 0 300
0.0383333 0 0 300
0.04 0 0 300
0.0416667 0 0 300
0.0433333 0 0 300
0.045 0 0 300
0.0466667 0 0 300
0.0483333 0 0 300
0.05 0 0 300
0 0.00166667 0 300
0.00166667 0.00166667 0 300.073
0.00333333 0.00166667 0 300.192
0.005 0.00166667 0 300.32
0.00666667 0.00166667 0 300.451
0.00833333 0.00166667 0 300.584
0.01 0.00166667 0 300.722
0.0116667 0.00166667 0 300.873
0.0133333 0.00166667 0 301.045
0.015 0.00166667 0 301.256
0.0166667 0.00166667 0 301.528
0.0183333 0.00166667 0 301.829
0.02 0.00166667 0 302.078
0.0216667 0.00166667 0 302.165
0.0233333 0.00166667 0 301.981
0.025 0.00166667 0 301.439
0.0266667 0.00166667 0 301.15
0.0283333 0.00166667 0 300.965
0.03 0.00166667 0 300.892
0.0316667 0.00166667 0 300.963
0.0333333 0.00166667 0 300.902
0.035 0.00166667 0 300.805
0.0366667 0.00166667 0 300.721
0.0383333 0.00166667 0 300.66
0.04 0.00166667 0 300.605
0.0416667 0.00166667 0 300.539
0.0433333 0.00166667 0 300.457
0.045 0.00166667 0 300.355
0.0466667 0.00166667 0 300.239
0.0483333 0.00166667 0 300.105
0.05 0.00166667 0 300
0 0.00333333 0 300
0.00166667 0.00333333 0 300.162
0.00333333 0.00333333 0 300.4
0.005 0.00333333 0 300.64
0.00666667 0.00333333 0 300.883
0.00833333 0.00333333 0 301.131
0.01 0.00333333 0 301.388
0.0116667 0.00333333 0 301.66
0.0133333 0.00333333 0 301.964
0.015 0.00333333 0 302.337
0.0166667 0.00333333 0 302.872
0.0183333 0.00333333 0 303.501
0.02 0.00333333 0 304.048
0.0216667 0.00333333 0 304.261
0.0233333 0.00333333 0 303.893
0.025 0.00333333 0 302.973
0.0266667 0.00333333 0 302.434
0.0283333 0.00333333 0 302.013
0.03 0.00333333 0 301.768
0.0316667 0.00333333 0 301.813
0.0333333 0.00333333 0 301.7
0.035 0.00333333 0 301.518
0.0366667 0.00333333 0 301.375
0.0383333 0.00333333 0 301.295
0.04 0.00333333 0 301.214
0.0416667 0.00333333 0 301.099
0.0433333 0.00333333 0 300.939
0.045 0.00333333 0 300.737
0.0466667 0.00333333 0 300.503
0.0483333 0.00333333 0 300.251
0.05 0.00333333 0 300
0 0.005 0 300
0.00166667 0.005 0 300.297
0.00333333 0.005 0 300.615
0.005 0.005 0 300.944
0.00666667 0.005 0 301.272
0.00833333 0.005 0 301.604
